Zeit;Kanal A
(ms);(mV)

-21,54999914;-4,10125500
-21,54499914;-5,59301200
-21,53999914;-5,77940400
-21,53499914;-5,96579700
-21,52999914;-5,59301200
-21,52499914;-5,40661900
-21,51999914;-5,59301200
-21,51499914;-4,47404100
-21,50999914;-4,28764700
-21,50499914;-3,16929100
-21,49999914;-2,23671300
-21,49499914;-2,42310500
-21,48999914;-2,42310500
-21,48499914;-0,93196360
-21,47999914;-1,30474900
-21,47499914;-0,74557080
-21,46999914;-0,74557080
-21,46499914;-1,11835600
-21,45999914;-1,67753400
-21,45499914;-1,67753400
-21,44999914;-2,42310500
-21,44499914;-2,60949800
-21,43999914;-3,16929100
-21,43499914;-3,54207700
-21,42999914;-4,28764700
-21,42499914;-3,16929100
-21,41999914;-4,84682600
-21,41499914;-4,10125500
-21,40999914;-3,54207700
-21,40499914;-4,47404100
-21,39999914;-4,66043300
-21,39499914;-4,47404100
-21,38999914;-4,47404100
-21,38499914;-5,21961100
-21,37999914;-4,84682600
-21,37499914;-5,03321800
-21,36999914;-5,21961100
-21,36499914;-6,15219000
-21,35999914;-5,40661900
-21,35499914;-5,96579700
-21,34999914;-5,03321800
-21,34499914;-5,59301200
-21,33999914;-4,84682600
-21,33499914;-4,66043300
-21,32999914;-4,10125500
-21,32499914;-3,72846900
-21,31999914;-4,84682600
-21,31499915;-4,10125500
-21,30999915;-3,35568400
-21,30499915;-2,98289800
-21,29999915;-2,98289800
-21,29499915;-3,16929100
-21,28999915;-3,72846900
-21,28499915;-3,72846900
-21,27999915;-4,47404100
-21,27499915;-4,66043300
-21,26999915;-4,10125500
-21,26499915;-4,10125500
-21,25999915;-3,72846900
-21,25499915;-3,72846900
-21,24999915;-3,72846900
-21,24499915;-3,54207700
-21,23999915;-2,23671300
-21,23499915;-2,79650600
-21,22999915;-3,16929100
-21,22499915;-1,49114200
-21,21999915;-1,67753400
-21,21499915;-1,30474900
-21,20999915;-2,60949800
-21,20499915;-0,93196360
-21,19999915;-1,86392700
-21,19499915;-2,05032000
-21,18999915;-1,67753400
-21,18499915;-2,23671300
-21,17999915;-2,60949800
-21,17499915;-4,10125500
-21,16999915;-3,72846900
-21,16499915;-4,66043300
-21,15999915;-5,03321800
-21,15499915;-5,40661900
-21,14999915;-6,33858300
-21,14499915;-7,08415300
-21,13999915;-6,33858300
-21,13499915;-6,52497500
-21,12999915;-6,33858300
-21,12499915;-5,21961100
-21,11999915;-5,59301200
-21,11499915;-4,47404100
-21,10999915;-3,54207700
-21,10499915;-3,54207700
-21,09999915;-2,05032000
-21,09499915;-1,67753400
-21,08999915;-1,67753400
-21,08499915;-1,49114200
-21,07999915;-0,37278540
-21,07499915;-0,18639270
-21,06999915;0,55917820
-21,06499915;0,74557080
-21,05999915;0,74557080
-21,05499915;1,49114200
-21,04999915;1,49114200
-21,04499915;1,86392700
-21,03999915;2,23671300
-21,03499915;2,60949800
-21,02999915;3,72846900
-21,02499915;5,03321800
-21,01999915;3,91486200
-21,01499915;4,47404100
-21,00999915;5,40661900
-21,00499915;4,47404100
-20,99999915;4,84682600
-20,99499915;4,47404100
-20,98999915;5,77940400
-20,98499915;6,15219000
-20,97999915;5,77940400
-20,97499915;6,52497500
-20,96999915;6,52497500
-20,96499915;6,33858300
-20,95999915;6,52497500
-20,95499915;6,71136800
-20,94999915;7,08415300
-20,94499915;5,96579700
-20,93999915;6,33858300
-20,93499915;6,15219000
-20,92999915;6,15219000
-20,92499915;5,59301200
-20,91999916;5,96579700
-20,91499916;6,33858300
-20,90999916;5,77940400
-20,90499916;6,71136800
-20,89999916;5,96579700
-20,89499916;5,96579700
-20,88999916;5,96579700
-20,88499916;5,40661900
-20,87999916;5,40661900
-20,87499916;5,21961100
-20,86999916;6,15219000
-20,86499916;5,96579700
-20,85999916;5,77940400
-20,85499916;5,96579700
-20,84999916;6,15219000
-20,84499916;6,71136800
-20,83999916;6,71136800
-20,83499916;6,52497500
-20,82999916;7,64333200
-20,82499916;8,01673200
-20,81999916;7,27054500
-20,81499916;7,64333200
-20,80999916;6,15219000
-20,80499916;8,01673200
-20,79999916;7,64333200
-20,79499916;7,08415300
-20,78999916;6,71136800
-20,78499916;6,71136800
-20,77999916;7,08415300
-20,77499916;5,59301200
-20,76999916;5,59301200
-20,76499916;5,40661900
-20,75999916;5,03321800
-20,75499916;7,45693900
-20,74999916;4,84682600
-20,74499916;5,40661900
-20,73999916;3,54207700
-20,73499916;4,28764700
-20,72999916;3,35568400
-20,72499916;3,54207700
-20,71999916;3,54207700
-20,71499916;2,79650600
-20,70999916;2,98289800
-20,70499916;2,98289800
-20,69999916;3,54207700
-20,69499916;2,79650600
-20,68999916;3,16929100
-20,68499916;3,91486200
-20,67999916;3,16929100
-20,67499916;3,54207700
-20,66999916;3,54207700
-20,66499916;3,91486200
-20,65999916;3,91486200
-20,65499916;2,98289800
-20,64999916;3,72846900
-20,64499916;3,91486200
-20,63999916;2,98289800
-20,63499916;2,79650600
-20,62999916;3,35568400
-20,62499916;5,40661900
-20,61999916;3,54207700
-20,61499916;2,79650600
-20,60999916;3,35568400
-20,60499916;2,98289800
-20,59999916;3,16929100
-20,59499916;1,49114200
-20,58999916;2,23671300
-20,58499916;2,79650600
-20,57999916;2,98289800
-20,57499916;2,42310500
-20,56999916;2,60949800
-20,56499916;1,86392700
-20,55999916;1,86392700
-20,55499916;1,67753400
-20,54999916;0,18639270
-20,54499916;0,00000000
-20,53999916;-0,93196360
-20,53499916;-2,23671300
-20,52999916;-2,42310500
-20,52499916;-3,72846900
-20,51999917;-3,72846900
-20,51499917;-3,35568400
-20,50999917;-3,54207700
-20,50499917;-2,79650600
-20,49999917;-2,60949800
-20,49499917;-1,30474900
-20,48999917;-0,55917820
-20,48499917;0,55917820
-20,47999917;2,05032000
-20,47499917;3,54207700
-20,46999917;3,35568400
-20,46499917;3,91486200
-20,45999917;3,72846900
-20,45499917;3,91486200
-20,44999917;3,54207700
-20,44499917;2,79650600
-20,43999917;2,42310500
-20,43499917;1,86392700
-20,42999917;1,49114200
-20,42499917;0,74557080
-20,41999917;0,18639270
-20,41499917;0,37278540
-20,40999917;0,55917820
-20,40499917;1,30474900
-20,39999917;1,11835600
-20,39499917;0,74557080
-20,38999917;1,30474900
-20,38499917;-0,18639270
-20,37999917;0,55917820
-20,37499917;0,55917820
-20,36999917;0,18639270
-20,36499917;0,00000000
-20,35999917;-0,74557080
-20,35499917;-1,11835600
-20,34999917;-2,23671300
-20,34499917;-1,86392700
-20,33999917;-2,23671300
-20,33499917;-3,54207700
-20,32999917;-3,72846900
-20,32499917;-3,54207700
-20,31999917;-4,10125500
-20,31499917;-4,10125500
-20,30999917;-4,28764700
-20,30499917;-4,10125500
-20,29999917;-4,28764700
-20,29499917;-4,66043300
-20,28999917;-4,10125500
-20,28499917;-4,47404100
-20,27999917;-4,47404100
-20,27499917;-4,47404100
-20,26999917;-4,66043300
-20,26499917;-4,66043300
-20,25999917;-5,59301200
-20,25499917;-5,03321800
-20,24999917;-5,40661900
-20,24499917;-5,21961100
-20,23999917;-4,66043300
-20,23499917;-5,03321800
-20,22999917;-4,66043300
-20,22499917;-3,91486200
-20,21999917;-3,16929100
-20,21499917;-1,86392700
-20,20999917;-1,86392700
-20,20499917;-1,30474900
-20,19999917;-1,30474900
-20,19499917;-0,93196360
-20,18999917;-0,74557080
-20,18499917;-1,49114200
-20,17999917;-1,11835600
-20,17499917;-1,86392700
-20,16999917;-2,05032000
-20,16499917;-2,42310500
-20,15999917;-2,98289800
-20,15499917;-3,54207700
-20,14999917;-3,72846900
-20,14499917;-3,72846900
-20,13999917;-5,03321800
-20,13499917;-4,47404100
-20,12999917;-3,72846900
-20,12499918;-3,91486200
-20,11999918;-4,10125500
-20,11499918;-3,72846900
-20,10999918;-4,28764700
-20,10499918;-5,96579700
-20,09999918;-4,28764700
-20,09499918;-4,84682600
-20,08999918;-5,03321800
-20,08499918;-5,03321800
-20,07999918;-5,40661900
-20,07499918;-5,96579700
-20,06999918;-6,33858300
-20,06499918;-5,59301200
-20,05999918;-4,84682600
-20,05499918;-4,84682600
-20,04999918;-4,84682600
-20,04499918;-4,28764700
-20,03999918;-3,72846900
-20,03499918;-3,72846900
-20,02999918;-2,98289800
-20,02499918;-3,54207700
-20,01999918;-2,98289800
-20,01499918;-3,72846900
-20,00999918;-3,16929100
-20,00499918;-3,72846900
-19,99999918;-3,72846900
-19,99499918;-3,16929100
-19,98999918;-4,10125500
-19,98499918;-4,10125500
-19,97999918;-3,72846900
-19,97499918;-4,10125500
-19,96999918;-3,54207700
-19,96499918;-3,54207700
-19,95999918;-2,79650600
-19,95499918;-3,16929100
-19,94999918;-2,60949800
-19,94499918;-2,79650600
-19,93999918;-1,67753400
-19,93499918;-1,67753400
-19,92999918;-1,30474900
